xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    4.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.283901
Cy    =   -0.000000
Cd    =    0.051101     ICd   =    0.022148     PCd   =    0.028954
Cl   = -1.31251e-13
Cm   =    -1.04922
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.093205     YCP   =    0.000000     ZCP   =    0.029951  
XNP   =    0.000000
Bending =  109.061761

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  72       8.282e-02      -2.192e+00       5.409e-02           0.066           0.032           0.997       6.025e-03          1.2621
  73       5.512e-02      -2.192e+00       5.572e-02           0.036           0.032           0.999       5.274e-03          1.5341
  74       3.145e-02      -2.192e+00       5.638e-02          -0.003           0.033           0.999       4.103e-03          1.9735
  75       1.373e-02      -2.192e+00       5.617e-02          -0.055           0.033           0.998       2.607e-03          2.9198
  76       3.391e-03      -2.192e+00       5.547e-02          -0.178           0.033           0.984       9.061e-04          5.7802
Strip 8
  77       2.231e-01      -1.978e+00       2.829e-02           0.212           0.024           0.977       1.016e-03          0.2854
  78       2.164e-01      -1.978e+00       2.970e-02           0.197           0.025           0.980       2.956e-03          0.4525
  79       2.013e-01      -1.978e+00       3.261e-02           0.173           0.027           0.985       4.638e-03          0.6015
  80       1.789e-01      -1.978e+00       3.638e-02           0.152           0.028           0.988       5.938e-03          0.7637
  81       1.511e-01      -1.978e+00       4.044e-02           0.125           0.030           0.992       6.746e-03          0.9217
  82       1.202e-01      -1.978e+00       4.409e-02           0.095           0.031           0.995       7.008e-03          1.0785
  83       8.866e-02      -1.978e+00       4.687e-02           0.066           0.032           0.997       6.708e-03          1.2678
  84       5.901e-02      -1.978e+00       4.862e-02           0.036           0.032           0.999       5.872e-03          1.5414
  85       3.367e-02      -1.978e+00       4.932e-02          -0.003           0.033           0.999       4.568e-03          1.9835
  86       1.470e-02      -1.978e+00       4.910e-02          -0.055           0.033           0.998       2.902e-03          2.9362
  87       3.630e-03      -1.978e+00       4.834e-02          -0.178           0.033           0.984       1.009e-03          5.8188
Strip 9
  88       2.381e-01      -1.759e+00       1.968e-02           0.212           0.024           0.977       1.084e-03          0.2855
  89       2.310e-01      -1.759e+00       2.118e-02           0.197           0.025           0.980       3.155e-03          0.4527
  90       2.148e-01      -1.759e+00       2.428e-02           0.173           0.027           0.985       4.950e-03          0.6017
  91       1.909e-01      -1.759e+00       2.831e-02           0.152           0.028           0.988       6.337e-03          0.7639
